researchExp,industryExp,toeflScore,internExp,greV,greQ,greA,ugCollege,univName,cgpa_4
0,24,113.0,2.0,159.0,170.0,4.0,IIT Indore,Virginia Polytechnic Institute and State University,3.08
0,0,102.0,0.0,150.0,167.0,3.0,COEP,Virginia Polytechnic Institute and State University,3.2119999999999997
12,24,111.0,4.0,158.0,170.0,4.5,NIT Rourkela,Virginia Polytechnic Institute and State University,3.6479999999999997
0,0,111.0,1.0,152.0,161.0,4.0,SRM,Virginia Polytechnic Institute and State University,3.64
0,27,105.0,0.0,154.0,165.0,3.5,NIT-warangal,Virginia Polytechnic Institute and State University,2.8040000000000003
4,22,116.0,4.0,152.0,167.0,4.0,Vishwakarma Institute of Technology,Virginia Polytechnic Institute and State University,3.7880000000000003
0,0,116.0,0.0,158.0,170.0,4.0,IIT Kharagpur,Virginia Polytechnic Institute and State University,3.408
0,0,117.0,2.0,158.0,170.0,4.5,BMSCE,Virginia Polytechnic Institute and State University,3.708
0,0,105.0,0.0,167.0,168.0,4.0,VNIT Nagpur,Virginia Polytechnic Institute and State University,2.8520000000000003
0,0,109.0,0.0,154.0,162.0,3.5,S. V. NIT Surat,Virginia Polytechnic Institute and State University,3.48
0,0,109.0,0.0,158.0,165.0,3.5,BIT Mesra,Virginia Polytechnic Institute and State University,3.548
0,0,112.0,0.0,152.0,165.0,4.5,GITAM,Virginia Polytechnic Institute and State University,2.9920000000000004
7,0,114.0,2.0,163.0,166.0,4.5,BITS Hyderabad,Virginia Polytechnic Institute and State University,3.58
0,0,108.0,0.0,161.0,167.0,4.0,IIT Kharagpur,Virginia Polytechnic Institute and State University,3.236
0,0,115.0,0.0,161.0,170.0,4.5,BITS Pilani,Virginia Polytechnic Institute and State University,3.2159999999999997
0,0,111.0,0.0,162.0,168.0,3.0,BIT Mesra,Virginia Polytechnic Institute and State University,3.088
0,0,110.0,0.0,160.0,170.0,4.0,IIT Roorkee,Virginia Polytechnic Institute and State University,3.4055999999999997
9,18,108.0,6.0,156.0,163.0,3.0,IIT Bombay,Virginia Polytechnic Institute and State University,2.8000000000000003
0,0,102.0,0.0,150.0,165.0,3.0,University college of engg OU,Virginia Polytechnic Institute and State University,3.232
0,0,111.0,0.0,148.0,167.0,4.0,IIT Ropar,Virginia Polytechnic Institute and State University,3.576
0,0,107.0,0.0,165.0,167.0,4.0,NIT Calicut,Virginia Polytechnic Institute and State University,3.016
0,0,112.0,0.0,158.0,168.0,5.0,CEG,Virginia Polytechnic Institute and State University,3.6
0,44,107.0,12.0,152.0,170.0,3.5,BITS Pilani,Virginia Polytechnic Institute and State University,3.4000000000000004
0,0,110.0,0.0,151.0,164.0,4.0,SJCE,Virginia Polytechnic Institute and State University,3.736
0,0,110.0,0.0,153.0,160.0,4.0,VTU,Virginia Polytechnic Institute and State University,3.5840000000000005
0,0,115.0,0.0,155.0,164.0,4.5,VJTI,Virginia Polytechnic Institute and State University,3.3200000000000003
0,24,103.0,6.0,156.0,166.0,3.5,BITS Goa,Virginia Polytechnic Institute and State University,3.12
0,0,100.0,2.0,150.0,160.0,4.0,CEG,Virginia Polytechnic Institute and State University,3.176
6,14,104.0,6.0,158.0,164.0,3.5,NIT Tirchy,Virginia Polytechnic Institute and State University,3.672
0,0,103.0,0.0,153.0,166.0,4.0,IIT Kanpur,Virginia Polytechnic Institute and State University,4.0
0,0,109.0,0.0,155.0,170.0,3.5,Sardar Patel College of Engineering,Virginia Polytechnic Institute and State University,3.2
0,0,114.0,0.0,166.0,166.0,4.0,West Bengal University Of Technology,Virginia Polytechnic Institute and State University,3.4357894736842107
0,0,114.0,6.0,155.0,167.0,4.0,PEC University of Technology,Virginia Polytechnic Institute and State University,3.128
0,0,113.0,0.0,157.0,164.0,5.0,NIT Rourkela,Virginia Polytechnic Institute and State University,3.2920000000000003
0,22,101.0,2.0,153.0,162.0,4.0,NIT,Virginia Polytechnic Institute and State University,3.8360000000000003
15,0,118.0,9.0,155.0,168.0,4.0,BITS Pilani,Virginia Polytechnic Institute and State University,2.8120000000000003
0,0,108.0,0.0,159.0,162.0,3.5,PSG College of Technology,Virginia Polytechnic Institute and State University,3.7600000000000002
2,34,113.0,6.0,154.0,163.0,4.0,NIT Silchar,Virginia Polytechnic Institute and State University,3.6
0,0,114.0,0.0,157.0,164.0,4.0,Indira Gandhi Institute Of Technology,Virginia Polytechnic Institute and State University,3.3473684210526318
30,0,114.0,0.0,156.0,168.0,5.0,University of Mumbai,Virginia Polytechnic Institute and State University,3.3246315789473684
0,0,111.0,0.0,157.0,164.0,3.5,CEG,Virginia Polytechnic Institute and State University,3.5840000000000005
0,0,114.0,0.0,156.0,167.0,4.0,VJTI,Virginia Polytechnic Institute and State University,3.08
0,0,116.0,0.0,167.0,170.0,4.0,BITS Pilani,Virginia Polytechnic Institute and State University,3.7880000000000003
0,0,111.0,0.0,157.0,163.0,3.0,IIT BHU,Virginia Polytechnic Institute and State University,3.008
0,0,100.0,0.0,148.0,161.0,3.0,Anna University,Virginia Polytechnic Institute and State University,3.4000000000000004
0,7,114.0,9.0,166.0,170.0,3.5,IIT Madras,Virginia Polytechnic Institute and State University,2.68
0,0,114.0,0.0,157.0,166.0,4.0,MSRIT,Virginia Polytechnic Institute and State University,3.708
0,0,105.0,0.0,150.0,163.0,3.5,Pune University,Virginia Polytechnic Institute and State University,3.531789473684211
0,0,113.0,0.0,164.0,170.0,3.5,Amrita School of Engineering,Virginia Polytechnic Institute and State University,3.0920000000000005
0,0,112.0,0.0,159.0,170.0,3.0,MU,Virginia Polytechnic Institute and State University,3.115789473684211
0,0,110.0,0.0,150.0,167.0,3.5,KLUNIVERSITY,Virginia Polytechnic Institute and State University,0.3494736842105264
24,0,113.0,8.0,160.0,163.0,4.5,University of Pune,Virginia Polytechnic Institute and State University,3.031578947368421
10,0,112.0,3.0,155.0,170.0,5.0,NITK Surathkal,Virginia Polytechnic Institute and State University,3.6880000000000006
0,0,116.0,0.0,157.0,163.0,3.5,IIT Roorkee,Virginia Polytechnic Institute and State University,3.0856
0,0,117.0,0.0,160.0,166.0,3.5,JSS Noida,Virginia Polytechnic Institute and State University,3.5671578947368427
0,0,113.0,0.0,158.0,166.0,4.5,NIT Calicut,Virginia Polytechnic Institute and State University,3.2119999999999997
0,30,104.0,0.0,155.0,165.0,3.5,MU,Virginia Polytechnic Institute and State University,2.9894736842105267
0,0,108.0,0.0,155.0,166.0,4.0,R V College of Engineering,Virginia Polytechnic Institute and State University,3.5840000000000005
0,0,112.0,7.0,154.0,168.0,4.0,Manipal Institue of Technology,Virginia Polytechnic Institute and State University,3.6799999999999997
0,0,109.0,0.0,162.0,165.0,3.0,Sri Venkateswara College of Engineering,Virginia Polytechnic Institute and State University,2.8440000000000003
0,17,108.0,1.0,149.0,157.0,4.0,JBIET,Virginia Polytechnic Institute and State University,3.3473684210526318
1,0,107.0,3.0,151.0,161.0,4.0,MSRIT,Virginia Polytechnic Institute and State University,3.74
0,0,117.0,0.0,170.0,159.0,3.5,NITK Surathkal,Virginia Polytechnic Institute and State University,3.8240000000000003
0,0,110.0,0.0,155.0,170.0,3.5,BITS Hyderabad,Virginia Polytechnic Institute and State University,3.704
0,0,114.0,0.0,162.0,165.0,5.0,NITK Surathkal,Virginia Polytechnic Institute and State University,3.0280000000000005
0,24,111.0,12.0,163.0,167.0,4.0,BITS Pilani,Virginia Polytechnic Institute and State University,0.3494736842105264
0,30,113.0,4.0,158.0,170.0,3.5,NIT Warangal,Virginia Polytechnic Institute and State University,3.3200000000000003
0,0,116.0,0.0,163.0,167.0,5.5,VIT University,Virginia Polytechnic Institute and State University,3.5240000000000005
0,36,105.0,3.0,155.0,168.0,3.5,NIT Warangal,Virginia Polytechnic Institute and State University,3.5520000000000005
0,0,112.0,0.0,152.0,157.0,3.5,Anna University,Virginia Polytechnic Institute and State University,3.7200000000000006
0,0,109.0,0.0,157.0,168.0,3.0,Manipal Institue of Technology,Virginia Polytechnic Institute and State University,3.58
0,0,116.0,0.0,162.0,170.0,4.5,Thiagarajar College of engineering,Virginia Polytechnic Institute and State University,3.5200000000000005
0,0,114.0,0.0,166.0,161.0,4.0,SSN College of Engineering,Virginia Polytechnic Institute and State University,3.224
0,0,108.0,0.0,161.0,165.0,3.5,Jadavpur University,Virginia Polytechnic Institute and State University,3.596
0,27,107.0,0.0,155.0,161.0,4.0,Sri Sairam Engineering College,Virginia Polytechnic Institute and State University,3.2421052631578946
0,0,109.0,0.0,161.0,169.0,4.0,NIT Rourkela,Virginia Polytechnic Institute and State University,3.7640000000000002
0,0,107.0,0.0,148.0,167.0,3.5,IIT Bombay,Virginia Polytechnic Institute and State University,3.544
